識別號,發音部位,聲母,清濁,發送收,聲母拼音碼,國際音標,切語上字,備註
1,牙音,見,全清,發聲,k,k,居曁九俱舉規吉紀几古公過各格兼姑佳詭乖,
2,牙音,溪,次清,送氣,kh,kʰ,康枯牽空謙口楷客恪苦去丘墟袪詰窺羌欽傾起綺豈區驅曲可乞棄卿弃,
3,牙音,群,全濁,,kh,kʰ,渠強求巨具臼衢其奇暨跪近狂,
4,牙音,疑,次濁,收聲,g,ɡ,疑魚牛語宜擬危五玉俄吾研遇虞愚,
5,舌頭音,端,全清,發聲,t,t,多德得丁都當冬,f
6,舌頭音,透,次清,送氣,th,tʰ,他託土吐通天台湯,f
7,舌頭音,定,全濁,,t,t,徒同特度杜唐堂田陀地,f
8,舌頭音,泥,次濁,收聲,n,n,奴乃諾內内嬭妳那,
9,舌上音,知,全清,發聲,t,t,知張豬猪徵中追陟卓竹珍,
10,舌上音,徹,次清,送氣,th,tʰ,抽癡楮褚禇丑恥敕,
11,舌上音,澄,全濁,,t,t,除場池治持遲遟佇柱丈直宅墜馳,
12,舌上音,娘,次濁,收聲,n,n,尼拏女穠匿,孃
13,重脣音,幫,全清,發聲,p,p,邊布補伯百北博愽巴卑并鄙必彼兵筆陂畀晡,
14,重脣音,滂,次清,送氣,ph,pʰ,滂普匹譬披丕,
15,重脣音,並,全濁,,p,p,蒲步裴薄白傍部平皮便毗弼婢簿捕,
16,重脣音,明,次濁,收聲,m,m,莫慕模謨摸母明彌眉綿靡美矛,
17,輕脣音,非,全清,發聲,h,h,方封分府甫,
18,輕脣音,敷,次清,送氣,h,h,敷孚妃撫芳峰峯拂,
19,輕脣音,奉,全濁,,h,h,房防縛附符苻扶馮浮父,
20,輕脣音,微,次濁,收聲,b,b,巫無亡武文望,
21,齒頭音,精,全清,發聲,z,ʦ,將子資即則借茲兹𩛠醉姊遵祖臧作,
22,齒頭音,清,次清,送氣,c,ʦʰ,倉蒼親遷取七青采醋麁麤千此雌,
23,齒頭音,從,全濁,,z,ʦ,才徂在前藏昨酢疾秦匠慈自情漸,
24,齒頭音,心,全清,送氣,s,s,蘇素速桑相悉思司斯私雖辛息須胥先寫,
25,齒頭音,邪,全濁,送氣,s,s,徐祥詳辭辞辝似旬寺夕隨,
26,正齒近齒頭,莊,全清,發聲,z,ʦ,莊爭阻鄒簪側仄,
27,正齒近齒頭,初,次清,送氣,c,ʦʰ,初楚創瘡測叉廁厠芻,
28,正齒近齒頭,床,全濁,,z,ʦ,床牀鋤鉏豺犲崱士仕崇查俟助雛鶵査,
29,正齒近齒頭,疏,全濁,送氣,s,s,疏山沙砂生色數所史踈,
30,正齒近舌上,照,全清,發聲,z,ʦ,之止章征諸煮煑支職正旨占脂,
31,正齒近舌上,穿,次清,送氣,c,ʦʰ,昌尺赤充處叱春姝,
32,正齒近舌上,神,全濁,送氣,s,s,神乘乗食實,
33,正齒近舌上,審,全清,送氣,s,s,書舒傷商施失矢試式識賞詩釋始,
34,正齒近舌上,禪,全濁,送氣,s,s,時殊嘗甞常蜀市植殖寔署臣是氏視成承十,
35,喉音,影,全清,發聲,Ø,,於央憶伊衣依憂一乙握謁紆挹烏哀安烟鷖愛委,
36,喉音,曉,次清,送氣,h,h,呼荒虎馨火海呵香朽羲休況况許興喜虛虚花,
37,喉音,匣,全濁,送氣,h,h,胡乎侯戶戸下黃何獲懷,
38,喉音,為,次濁,發聲,Ø,,于羽雨雲云王韋永有薳為爲洧筠榮,
39,喉音,喻,次濁,發聲,Ø,,余餘予夷以羊弋翼與營移悅,
40,半舌,來,次濁,收聲,l,l,來盧賴洛落勒力林呂吕良離里郎魯練縷連,
41,半齒,日,次濁,收聲,j,ʣ,如汝儒人而仍兒耳,
,,,,,,,,
,《廣韻》《韻鏡》反切上字與河洛音對應表 ,,,,,,,
